PCE,Dates
0.760129690786138,1974_SEP
0.729345645733459,1974_OCT
0.680579377870227,1974_NOV
0.661878588006304,1974_DEC
0.67184629314101,1975_JAN
0.620954722176692,1975_FEB
0.575738337605891,1975_MAR
0.564419190657706,1975_APR
0.555472606160623,1975_MAY
0.53551885582932,1975_JUN
0.515453341807759,1975_JUL
0.480908088003495,1975_AUG
0.465220190942306,1975_SEP
0.455906186378008,1975_OCT
0.462187673786785,1975_NOV
0.44662952724881,1975_DEC
0.417562549868666,1976_JAN
0.427261372308996,1976_FEB
0.432803276820937,1976_MAR
0.428037803245829,1976_APR
0.412359370909288,1976_MAY
0.413022514758943,1976_JUN
0.429819175737078,1976_JUL
0.484239776115181,1976_AUG
0.513533436864799,1976_SEP
0.543092909709664,1976_OCT
0.545629185360519,1976_NOV
