PCE,Dates
0.00779236348378576,1965_SEP
0.010058073399988,1965_OCT
0.00715478177915574,1965_NOV
0.00719681199072153,1965_DEC
0.00569023768596999,1966_JAN
0.00828794695713952,1966_FEB
0.0089760245659618,1966_MAR
0.00966582188955045,1966_APR
0.00728041333959606,1966_MAY
0.00620390963361817,1966_JUN
0.00361916992586542,1966_JUL
0.00332245278619747,1966_AUG
0.00174499767333658,1966_SEP
0.00337346594544297,1966_OCT
0.00412478940335781,1966_NOV
0.00679363604691652,1966_DEC
0.0085212451452088,1967_JAN
0.00971997222865095,1967_FEB
0.00957379318299778,1967_MAR
0.00896654787906659,1967_APR
0.00916800366720127,1967_MAY
0.00771208226221098,1967_JUN
0.00957046826934049,1967_JUL
0.0103338632750398,1967_AUG
0.0120181405895692,1967_SEP
0.0104954294097732,1967_OCT
0.0101157693604585,1967_NOV
0.0100829038763164,1967_DEC
0.0099955327228054,1968_JAN
0.0104039167686658,1968_FEB
0.0106477373558118,1968_MAR
0.01199756731354,1968_APR
0.0112879246737514,1968_MAY
0.00987708516242325,1968_JUN
0.00939685314685312,1968_JUL
0.00854840466078621,1968_AUG
0.011193218865464,1968_SEP
0.0116908421736308,1968_OCT
0.0131728121794525,1968_NOV
0.0133261687264912,1968_DEC
0.0133212069334474,1969_JAN
0.0120424148771781,1969_FEB
0.0113479690317106,1969_MAR
0.0103479224961724,1969_APR
0.0119517717053652,1969_MAY
0.0123741610738255,1969_JUN
0.0125411506505722,1969_JUL
0.012174817898023,1969_AUG
0.0100476486430494,1969_SEP
0.0115600970222429,1969_OCT
0.0107432918679964,1969_NOV
0.0108706799302636,1969_DEC
0.00943829396459384,1970_JAN
0.0088999644001424,1970_FEB
0.0108045044131075,1970_MAR
0.0121297887395126,1970_APR
0.013459018046174,1970_MAY
0.0133989060069253,1970_JUN
0.0105363028063516,1970_JUL
0.00950012434717729,1970_AUG
0.00836882242250181,1970_SEP
0.0101793744132037,1970_OCT
0.0114308238076468,1970_NOV
0.0125718214408486,1970_DEC
0.0116421268893998,1971_JAN
0.010376071706937,1971_FEB
0.00742034046268003,1971_MAR
0.00594748803249345,1971_APR
0.0051106504025844,1971_MAY
0.00755825149239353,1971_JUN
0.0101422803307056,1971_JUL
0.0120401016932892,1971_AUG
0.00950833771322102,1971_SEP
0.00689983345229606,1971_OCT
0.00516636648023527,1971_NOV
0.00525369178341539,1971_DEC
0.00732514177693777,1972_JAN
0.00801622105908417,1972_FEB
0.0110174678657187,1972_MAR
0.00853858784893258,1972_APR
0.00860738176544884,1972_MAY
0.00731150747450293,1972_JUN
0.00921058752384063,1972_JUL
0.0115022494318446,1972_AUG
0.0154415164123902,1972_SEP
0.0199124222171005,1972_OCT
0.0195790728598284,1972_NOV
0.0181660899653979,1972_DEC
0.014326388575044,1973_JAN
0.0210019787731606,1973_FEB
0.0192281894200241,1973_MAR
0.021297451434682,1973_APR
0.0179271461921331,1973_MAY
0.0222436713025929,1973_JUN
0.0262193525870342,1973_JUL
0.0297273907399396,1973_AUG
0.033175965665236,1973_SEP
0.0306083407728606,1973_OCT
0.0287851409841575,1973_NOV
0.0256303742782371,1973_DEC
0.0259456337911974,1974_JAN
0.0265501184543748,1974_FEB
0.028473066018631,1974_MAR
0.0282647153425539,1974_APR
0.0252665923921693,1974_MAY
0.0227621785531444,1974_JUN
0.02177908113392,1974_JUL
0.0196763301897778,1974_AUG
0.0150937584228563,1974_SEP
0.0122455227307516,1974_OCT
0.0108091649539468,1974_NOV
0.013693433979441,1974_DEC
0.0189399667321941,1975_JAN
0.01927856013254,1975_FEB
0.0179613830264931,1975_MAR
0.0151745631284086,1975_APR
0.0172885112670853,1975_MAY
0.0178650198500221,1975_JUN
0.0158248666033185,1975_JUL
0.0106398431258625,1975_AUG
0.00660888407367288,1975_SEP
0.00507285483000541,1975_OCT
0.00855161510545788,1975_NOV
0.0114447673375668,1975_DEC
0.01428264604811,1976_JAN
0.0150343795646444,1976_FEB
0.0162812145289444,1976_MAR
0.0164460914063878,1976_APR
0.0154785721806887,1976_MAY
0.015461938501274,1976_JUN
0.0160411096836917,1976_JUL
0.0193557306788332,1976_AUG
0.0187667560321716,1976_SEP
0.0187608925947442,1976_OCT
0.0159704326597043,1976_NOV
0.016565452091768,1976_DEC
0.0159331812692876,1977_JAN
0.0155191402730033,1977_FEB
0.0136736251700906,1977_MAR
0.0131409515633769,1977_APR
0.0142303141843039,1977_MAY
0.0153226598565956,1977_JUN
0.0165879094019878,1977_JUL
0.0154888046401607,1977_AUG
0.0171229563703204,1977_SEP
0.0188177213566711,1977_OCT
0.0213472031653852,1977_NOV
0.0214000380445121,1977_DEC
0.019256788647305,1978_JAN
0.0171519620094975,1978_FEB
0.0162957444827265,1978_MAR
0.0188312289692216,1978_APR
0.0194428233559603,1978_MAY
0.0184167124793844,1978_JUN
0.0179983637851104,1978_JUL
0.0176559204579694,1978_AUG
0.0208427050532314,1978_SEP
0.0237521207250648,1978_OCT
0.0288666508763618,1978_NOV
0.0293184488836662,1978_DEC
0.0264573339148131,1979_JAN
0.0237115478691263,1979_FEB
0.0242879159769396,1979_MAR
0.0248406741254781,1979_APR
0.0241180604356992,1979_MAY
0.0236841372008134,1979_JUN
0.0260350450500249,1979_JUL
0.0300002744764363,1979_AUG
0.0339693513704784,1979_SEP
0.0285798944079301,1979_OCT
0.0254756702019932,1979_NOV
0.0194276989496407,1979_DEC
0.0220243551132644,1980_JAN
0.0225819863832442,1980_FEB
0.0255648805681086,1980_MAR
0.0258033106134372,1980_APR
0.025615613326218,1980_MAY
0.0228125393428176,1980_JUN
0.0244298453775635,1980_JUL
0.0264377214499865,1980_AUG
0.0269318825238178,1980_SEP
0.0216039599131939,1980_OCT
0.0159078839376237,1980_NOV
0.0128970394342562,1980_DEC
0.014583383058453,1981_JAN
0.0163716288463822,1981_FEB
0.0184602276761414,1981_MAR
0.0169379881434082,1981_APR
0.0160377799597886,1981_MAY
0.0130365068668232,1981_JUN
0.0144582215230868,1981_JUL
