Daten_IS,Daten,comp,targ,bench,bint,rank
2009_SEP,2009.67,1.85743286650291,-1.02274867513122,0.13521726,0.152897292811813,2.34256586032915
2009_OCT,2009.75,1.14961355256491,0.0133852371007936,0.02767731,0.147363847430231,1.63353341182826
2009_NOV,2009.83,0.797628689117547,1.46061201314516,-0.02802202,0.144497850185991,1.41123936761205
2009_DEC,2009.92,0.61455761998046,2.08971827084812,-0.07830587,0.141910505319728,1.06475793618575
2010_JAN,2010,0.99534739186129,2.30172061490146,-0.0412921,0.143815041026333,0.934711544864442
2010_FEB,2010.08,1.16548683479683,2.11633017949542,3.56453477510018e-23,0.145939717298182,1.09139779451115
2010_MAR,2010.17,1.59518081291876,2.37271603800548,0.04019308,0.148007843728383,2.27077018393835
2010_APR,2010.25,1.95282352869715,2.2821224338142,0.12478854,0.152360685229981,1.75864441068032
2010_MAY,2010.33,2.12838028772413,2.20846956795286,0.12393124,0.152316573039808,0.72295652789065
2010_JUN,2010.42,2.18045258184678,1.56221882491621,0.14277869,0.153286364593152,1.6295025548611
2010_JUL,2010.5,1.37969941056184,1.63739007260404,0.09711563,0.150936781499001,1.88392117234339
2010_AUG,2010.58,1.83070092490027,1.48239516011142,0.12082904,0.152156949994951,2.36675466920846
2010_SEP,2010.67,1.76130832992905,1.41955129460545,0.13689022,0.152983374614767,2.26661828014472
2010_OCT,2010.75,3.59769213487411,1.35841985893204,0.23134542,0.157843546952641,3.23647442235482
2010_NOV,2010.83,3.28125096247851,1.30719681001024,0.21106333,0.156799936301536,3.30194619016875
2010_DEC,2010.92,3.09043372661444,1.4776681983266,0.1806471,0.155234875620193,2.82511779897106
2011_JAN,2011,1.73872053794679,1.55986509239305,0.1070175,0.151446280125516,1.86761246364104
2011_FEB,2011.08,1.4987926742221,1.8450307288173,0.10692388,0.151441462928218,1.15904025431113
2011_MAR,2011.17,1.79002921159301,2.1105460870922,0.12812467,0.15253234509351,1.05460728798219
2011_APR,2011.25,1.60099184001392,2.48809655278015,0.09585832,0.150872086878883,1.04226520159341
2011_MAY,2011.33,1.48729798657321,2.76624713277709,0.10360068,0.151270468375104,1.46467854492973
2011_JUN,2011.42,1.30870237121514,2.78845195100426,0.06995687,0.149539333247523,1.22358196020369
2011_JUL,2011.5,0.783310566378281,2.87569983918841,0.05355649,0.148695455163451,0.92596497341646
2011_AUG,2011.58,1.2267162375283,2.97672979688068,0.04866777,0.14844390710986,1.09197947650297
2011_SEP,2011.67,1.18007070517108,3.01903037319395,0.05161511,0.148595561866171,0.970729954252136
2011_OCT,2011.75,1.68030375671995,2.69363233322104,0.10174262,0.151174862290801,1.33506537434569
2011_NOV,2011.83,1.38420671848458,2.69925984827804,0.11314525,0.151761582205692,1.51108340851425
2011_DEC,2011.92,0.875042986941499,2.52662488060862,0.10121683,0.15114780787756,1.66508838522681
2012_JAN,2012,0.939237206852583,2.56931244192626,0.12179366,0.152206584313025,2.22969050583364
2012_FEB,2012.08,1.24333962915646,2.51315402818351,0.13679385,0.1529784159168,2.27874396404739
2012_MAR,2012.17,1.98671576526881,2.29802747806118,0.18038198,0.155221233926668,2.56839575217991
2012_APR,2012.25,2.46151535509624,1.99984874084942,0.18552944,0.155486095392234,2.74018451073192
2012_MAY,2012.33,2.4255900677524,1.57694047915045,0.20656136,0.156568288387393,2.92725564227796
2012_JUN,2012.42,2.51617970204783,1.54601967628585,0.19264635,0.155852294490993,2.81919859521393
2012_JUL,2012.5,2.03470382289601,1.41002613191878,0.1654287,0.154451816067021,1.87828563933063
2012_AUG,2012.58,1.91883546585472,1.51186746118124,0.15259466,0.153791443253336,1.84466740378046
2012_SEP,2012.67,1.5722802024039,1.67797100715981,0.13853706,0.153068112418645,2.14712823813426
2012_OCT,2012.75,0.987856727245395,1.97687749469526,0.10511793,0.151348538152942,1.6540363124558
2012_NOV,2012.83,1.1698646986229,1.69910179159172,0.10928006,0.151562699671764,1.51997421723189
2012_DEC,2012.92,1.66849027628251,1.62438283692172,0.14196789,0.153244645050644,1.2254650215636
2013_JAN,2013,2.41813207436503,1.47080750331849,0.225948,0.157565823848144,1.70740899624537
