PCE,core PCE,trimmed,Dates
0.35492457852706,0.376496618667803,,1968_SEP
0.399918910451333,0.40192783083463,,1968_OCT
0.376264155791713,0.398596938775517,,1968_NOV
0.329236172080775,0.36346954619239,,1968_DEC
0.313228438228437,0.353207865464703,,1969_JAN
0.284946822026207,0.341368625597393,,1969_FEB
0.373107295515467,0.397947429050163,,1969_MAR
0.389694739121027,0.399930446878797,,1969_APR
0.439093739315083,0.419352602758717,,1969_MAY
0.444205624216373,0.37772948359723,,1969_JUN
0.444040231114913,0.405498281786947,,1969_JUL
0.40141382923927,0.364513810452817,,1969_AUG
0.378265634390353,0.383729854182653,,1969_SEP
0.344930749872413,0.37176614381748,,1969_OCT
0.39839239017884,0.40627697933066,,1969_NOV
0.412472035794183,0.39622323385601,,1969_DEC
