Daten,comp,targ,bench,bint,rank
4.42,0.00415975661505876,0.007353223,0.0025884825,0.00457375923240175,0.00518233108973142
-7.88,0.00492297609287461,0.008223684,0.0029956218,0.00457375923240175,0.00560432203465847
3.62,0.00626201778209168,0.007556771,0.0036706869,0.00457375923240175,0.00605670880966059
-2.58,0.00591692883598626,0.005538025,0.0041027607,0.00457375923240175,0.0052692638045899
4.92,0.00593623528991509,0.00666439,0.0041609231,0.00457375923240175,0.00496720635026586
6.52,0.00445294154419987,0.007979899,0.0031093101,0.00457375923240175,0.0050583547692398
7.42,0.00605911866854698,0.007045094,0.0045060526,0.00457375923240175,0.00484697375092899
4.82,0.00420761819893366,0.004296267,0.0041945242,0.00457375923240175,0.00463149283832632
-5.88,0.00610173001886799,0.003419724,0.0050306156,0.00457375923240175,0.00467737350183609
-3.08,0.00505406743624287,0.00679557,0.0043717924,0.00457375923240175,0.00511642783968234
3.02,0.00748640960778362,0.01015686,0.0046073617,0.00457375923240175,0.00489341207121088
-0.38,0.00626490368206057,0.008701188,0.0044619157,0.00457375923240175,0.00489088209237254
-3.98,0.00547015596072613,0.005705549,0.0051854656,0.00457375923240175,0.00561221437714963
0.62,0.0047598774901681,0.00463112,0.0054429997,0.00457375923240175,0.00583223567499254
4.62,0.00635322993478901,0.007103872,0.0058766532,0.00457375923240175,0.00591841232966534
0.82,0.00855302492200339,0.00860247,0.0059118123,0.00457375923240175,0.00530271957858584
6.62,0.00795681895560334,0.006372332,0.0056641604,0.00457375923240175,0.00519367074360583
0.92,0.00634331398011673,0.003993856,0.0055670929,0.00457375923240175,0.00544474970886779
2.92,0.00657073808669715,0.005428722,0.0041426468,0.00457375923240175,0.00540126319027691
3.12,0.00612729152863645,0.008916215,0.0031525694,0.00457375923240175,0.00486135409935206
3.42,0.00719343386908572,0.01801714,0.0034461738,0.00457375923240175,0.0042613735386638
9.62,0.00601362529883277,0.01534505,0.0044362154,0.00457375923240175,0.00482858914890422
3.22,0.0069245073337428,0.00915304,0.0062107944,0.00457375923240175,0.00538536440610839
3.02,0.00424913233486614,-0.0004929544,0.0056164451,0.00457375923240175,0.00513648487229198
-2.98,0.00340547298405699,0.002748935,0.0070517499,0.00457375923240175,0.00548511144605546
0.72,0.00362215376096087,0.005449231,0.0065551509,0.00457375923240175,0.00447485996040028
-5.88,0.00598054906217429,0.007397962,0.0077426673,0.00457375923240175,0.00547615716218605
10.02,0.00856573175786842,0.007194675,0.0052824904,0.00457375923240175,0.00564020631195974
3.02,0.0086689847837707,0.009296038,0.0056784733,0.00457375923240175,0.0055933567536319
5.82,0.00849579857976569,0.009827335,0.0039027613,0.00457375923240175,0.00520440311597271
-6.28,0.00781163883544524,0.008593332,0.0042160062,0.00457375923240175,0.00527626354047975
-1.98,0.00627313602593962,0.009056317,0.002975646,0.00457375923240175,0.00488616662592476
-5.28,0.00399039426791263,0.003937613,0.0044969289,0.00457375923240175,0.00546337629216991
0.32,0.0035333576286337,-0.001838365,0.0059141355,0.00457375923240175,0.0058659193124593
5.52,0.00471523896301753,-0.004628488,0.0076602264,0.00457375923240175,0.00591398872689066
3.62,0.0053789742886645,0.001531177,0.0064786169,0.00457375923240175,0.00525053030072553
6.82,0.00689267991101036,0.007248943,0.0058430718,0.00457375923240175,0.00515720795299954
